City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
353,kalmunai,7.4167,81.8167,26.73,78,54,3.3,LK,1680279882
354,novocheremshansk,54.3571,50.1666,4.55,90,100,3.7,RU,1680279882
355,napasar,27.9667,73.55,25.77,40,40,2.98,IN,1680279882
356,guozhen,34.3659,107.359,14.43,65,42,1.27,CN,1680279882
357,sola,-13.8833,167.55,27.59,76,64,3.88,VU,1680279882
358,whitehorse,60.7161,-135.0538,-2.57,80,75,5.66,CA,1680279882
359,aanekoski,62.6946,25.818,0.04,100,50,1.83,FI,1680279883
360,ahipara,-35.1667,173.1667,16.65,89,100,3.48,NZ,1680279883
361,santa rosalia,27.3167,-112.2833,15.15,51,5,3.16,MX,1680279883
362,promyshlennaya,54.9159,85.6385,-8.47,92,100,2.68,RU,1680279883
363,gaozhou,21.9392,110.8461,21.12,94,100,1.81,CN,1680279883
364,mezen,65.8522,44.24,-5.53,87,32,3.8,RU,1680279883
365,lima,-12.0432,-77.0282,25.14,73,20,4.63,PE,1680279781
